seq_name,cell_types_98,cell_types_50,cell_types_25
LS-15385_S46_E2-50,Vip Lmo1 Fam159b,n67,n66
LS-15385_S47_E2-50,L5 IT VISp Batf3,n30,n28
LS-15385_S48_E2-50,L5 IT VISp Col27a1,n29,n28
LS-15070_S57_E1-50,L6 IT VISp Penk Col27a1,n33,n33
LS-15070_S58_E1-50,L5 IT VISp Batf3,n30,n28
LS-15070_S59_E1-50,L6 IT VISp Penk Col27a1,n33,n33
LS-15070_S60_E1-50,L6 IT VISp Col23a1 Adamts2,n33,n33
LS-15070_S61_E1-50,L5 NP VISp Trhr Cpne7,n43,n42
LS-15070_S62_E1-50,L6 IT VISp Penk Col27a1,n33,n33
LS-15070_S63_E1-50,L6 IT VISp Penk Col27a1,n33,n33
LS-15070_S64_E1-50,L5 PT VISp C1ql2 Cdh13,n9,n8
LS-15385_S50_E2-50,L6 IT VISp Col18a1,n33,n33
LS-15385_S51_E2-50,Vip Arhgap36 Hmcn1,n70,n66
LS-15385_S52_E2-50,L6 IT VISp Penk Col27a1,n33,n33
LS-15385_S53_E2-50,L6 IT VISp Penk Col27a1,n33,n33
LS-15385_S54_E2-50,L5 NP VISp Trhr Cpne7,n43,n42
LS-15385_S55_E2-50,L5 IT VISp Whrn Tox2,n30,n28
LS-15385_S56_E2-50,L5 PT VISp Krt80,n9,n8
LS-15058_S89_E1-50,Lamp5 Plch2 Dock5,n82,n79
LS-15058_S90_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15058_S91_E1-50,Vip Pygm C1ql1,n72,n66
LS-15058_S92_E1-50,Vip Ptprt Pkp2,n73,n66
LS-15058_S93_E1-50,Vip Crispld2 Htr2c,n65,n64
LS-15058_S94_E1-50,Vip Ptprt Pkp2,n73,n66
LS-15058_S95_E1-50,Vip Chat Htr1f,n72,n66
LS-15058_S96_E1-50,Vip Igfbp6 Pltp,n62,n62
LS-15067_S01_E1-50,L2/3 IT VISp Agmat,n39,n36
LS-15067_S02_E1-50,L2/3 IT VISp Agmat,n39,n36
LS-15067_S03_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15067_S04_E1-50,Lamp5 Plch2 Dock5,n82,n79
LS-15067_S05_E1-50,Sst Chodl,Sst Chodl,Sst Chodl
LS-15067_S06_E1-50,Lamp5 Ntn1 Npy2r,n82,n79
LS-15067_S07_E1-50,Vip Crispld2 Htr2c,n65,n64
LS-15067_S08_E1-50,Lamp5 Fam19a1 Pax6,n81,n79
LS-15067_S09_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15067_S10_E1-50,L2/3 IT VISp Agmat,n39,n36
LS-15067_S11_E1-50,L2/3 IT VISp Agmat,n39,n36
LS-15067_S13_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15067_S14_E1-50,Lamp5 Ntn1 Npy2r,n82,n79
LS-15067_S15_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15067_S16_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15066_S01_E1-50,Vip Igfbp6 Car10,n62,n62
LS-15066_S02_E1-50,Vip Crispld2 Htr2c,n65,n64
LS-15066_S03_E1-50,Vip Lect1 Oxtr,n73,n66
LS-15066_S04_E1-50,L2/3 IT VISp Agmat,n39,n36
LS-15066_S05_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15066_S06_E1-50,Vip Crispld2 Htr2c,n65,n64
LS-15066_S07_E1-50,Lamp5 Fam19a1 Tmem182,n81,n79
LS-15066_S08_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15070_S65_E1-50,Vip Chat Htr1f,n72,n66
LS-15070_S66_E1-50,Vip Chat Htr1f,n72,n66
LS-15070_S67_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15070_S68_E1-50,Vip Chat Htr1f,n72,n66
LS-15070_S69_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15070_S70_E1-50,Vip Lect1 Oxtr,n73,n66
LS-15070_S71_E1-50,Vip Lmo1 Myl1,n67,n66
LS-15070_S72_E1-50,Vip Chat Htr1f,n72,n66
LS-15062_S25_E1-50,Pvalb Calb1 Sst,n111,n110
LS-15062_S26_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
LS-15062_S27_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
LS-15062_S28_E1-50,L6 IT VISp Penk Fst,n33,n33
LS-15062_S29_E1-50,L6 IT VISp Penk Col27a1,n33,n33
LS-15062_S30_E1-50,Sst Rxfp1 Prdm8,n100,n91
LS-15062_S31_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
LS-15062_S32_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
LS-15062_S41_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
LS-15062_S42_E1-50,L6 IT VISp Penk Col27a1,n33,n33
LS-15062_S43_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
LS-15062_S44_E1-50,L6 IT VISp Penk Col27a1,n33,n33
LS-15062_S45_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
LS-15062_S46_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
LS-15062_S48_E1-50,L6 IT VISp Penk Col27a1,n33,n33
LS-15062_S49_E1-50,L6 CT VISp Krt80 Sla,n47,n46
LS-15062_S50_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
LS-15062_S51_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
LS-15062_S52_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
LS-15062_S53_E1-50,Sst Esm1,n98,n91
LS-15062_S54_E1-50,L6 CT VISp Krt80 Sla,n47,n46
LS-15062_S55_E1-50,L6 IT VISp Col23a1 Adamts2,n33,n33
LS-15062_S56_E1-50,Vip Gpc3 Slc18a3,n70,n66
LS-15060_S01_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
LS-15060_S02_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
LS-15060_S03_E1-50,Sst Chodl,Sst Chodl,Sst Chodl
LS-15060_S04_E1-50,L6 CT VISp Krt80 Sla,n47,n46
LS-15060_S05_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
LS-15060_S06_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
LS-15060_S07_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
LS-15060_S08_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
LS-15060_S09_E1-50,L6 IT VISp Penk Col27a1,n33,n33
LS-15060_S10_E1-50,L6 IT VISp Col23a1 Adamts2,n33,n33
LS-15060_S11_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
LS-15060_S13_E1-50,L6 IT VISp Penk Fst,n33,n33
LS-15060_S14_E1-50,L6 CT VISp Nxph2 Wls,n47,n46
LS-15060_S15_E1-50,L6 CT VISp Krt80 Sla,n47,n46
LS-15060_S16_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
LS-15070_S73_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15070_S74_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15070_S75_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15070_S76_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15070_S78_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15070_S79_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15070_S80_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15070_S81_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15070_S82_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15070_S83_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15070_S84_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15070_S85_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15070_S86_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15070_S87_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15070_S88_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15070_S89_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15070_S90_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15070_S91_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15070_S92_E1-50,Vip Ptprt Pkp2,n73,n66
LS-15070_S93_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15070_S94_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15070_S95_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15070_S96_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15069_S25_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15069_S26_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15069_S27_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15069_S28_E1-50,Vip Pygm C1ql1,n72,n66
LS-15069_S29_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15069_S30_E1-50,Vip Arhgap36 Hmcn1,n70,n66
LS-15069_S31_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15069_S32_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15069_S33_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15069_S34_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15069_S36_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15069_S37_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15069_S38_E1-50,Vip Pygm C1ql1,n72,n66
LS-15069_S39_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15069_S40_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15060_S25_E1-50,L2/3 IT VISp Agmat,n39,n36
LS-15060_S26_E1-50,L2/3 IT VISp Agmat,n39,n36
LS-15060_S27_E1-50,L2/3 IT VISp Agmat,n39,n36
LS-15060_S28_E1-50,L2/3 IT VISp Adamts2,n39,n36
LS-15060_S29_E1-50,L2/3 IT VISp Agmat,n39,n36
LS-15060_S30_E1-50,L2/3 IT VISp Rrad,n39,n36
LS-15060_S32_E1-50,L2/3 IT VISp Agmat,n39,n36
LS-15060_S33_E1-50,Sncg Vip Nptx2,n87,n86
LS-15060_S34_E1-50,L2/3 IT VISp Agmat,n39,n36
LS-15060_S35_E1-50,L2/3 IT VISp Agmat,n39,n36
LS-15060_S36_E1-50,Vip Ptprt Pkp2,n73,n66
LS-15060_S37_E1-50,L2/3 IT VISp Agmat,n39,n36
LS-15060_S38_E1-50,L2/3 IT VISp Adamts2,n39,n36
LS-15060_S39_E1-50,L2/3 IT VISp Agmat,n39,n36
LS-15060_S40_E1-50,L2/3 IT VISp Agmat,n39,n36
LS-15060_S41_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15060_S42_E1-50,L2/3 IT VISp Agmat,n39,n36
LS-15060_S43_E1-50,L2/3 IT VISp Agmat,n39,n36
LS-15060_S44_E1-50,L2/3 IT VISp Adamts2,n39,n36
LS-15060_S45_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15060_S46_E1-50,L2/3 IT VISp Agmat,n39,n36
LS-15060_S47_E1-50,Vip Rspo1 Itga4,n73,n66
LS-15060_S48_E1-50,L2/3 IT VISp Rrad,n39,n36
LS-15061_S01_E1-50,L2/3 IT VISp Agmat,n39,n36
LS-15061_S02_E1-50,Lamp5 Fam19a1 Tmem182,n81,n79
LS-15061_S03_E1-50,Lamp5 Plch2 Dock5,n82,n79
LS-15061_S04_E1-50,Vip Lect1 Oxtr,n73,n66
LS-15061_S05_E1-50,L2/3 IT VISp Adamts2,n39,n36
LS-15061_S06_E1-50,L2/3 IT VISp Agmat,n39,n36
LS-15061_S07_E1-50,L2/3 IT VISp Agmat,n39,n36
LS-15061_S08_E1-50,Vip Rspo1 Itga4,n73,n66
LS-15061_S09_E1-50,Vip Igfbp6 Pltp,n62,n62
LS-15061_S10_E1-50,Lamp5 Ntn1 Npy2r,n82,n79
LS-15061_S11_E1-50,Lamp5 Ntn1 Npy2r,n82,n79
LS-15061_S12_E1-50,L2/3 IT VISp Agmat,n39,n36
LS-15061_S13_E1-50,L2/3 IT VISp Agmat,n39,n36
LS-15061_S14_E1-50,L2/3 IT VISp Rrad,n39,n36
LS-15061_S15_E1-50,L2/3 IT VISp Agmat,n39,n36
LS-15061_S16_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15069_S41_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15069_S42_E1-50,Serpinf1 Aqp5 Vip,Serpinf1 Aqp5 Vip,n84
LS-15069_S43_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15069_S44_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15069_S45_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15069_S46_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15069_S47_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15069_S48_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15069_S49_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15069_S50_E1-50,Sst Chrna2 Ptgdr,n94,n91
LS-15069_S51_E1-50,Sst Hpse Sema3c,n107,n91
LS-15069_S52_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15069_S53_E1-50,Vip Pygm C1ql1,n72,n66
LS-15069_S54_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15069_S55_E1-50,L5 PT VISp Chrna6,L5 PT VISp Chrna6,L5 PT VISp Chrna6
LS-15069_S56_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15068_S25_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15068_S26_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15068_S27_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15068_S28_E1-50,L5 IT VISp Hsd11b1 Endou,n30,n28
LS-15068_S29_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15068_S30_E1-50,L5 IT VISp Hsd11b1 Endou,n30,n28
LS-15068_S31_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15068_S32_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15068_S33_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15068_S34_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15068_S35_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15068_S36_E1-50,Sst Hpse Cbln4,n107,n91
LS-15068_S37_E1-50,L5 IT VISp Hsd11b1 Endou,n30,n28
LS-15068_S38_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15068_S39_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15068_S40_E1-50,L5 NP VISp Trhr Cpne7,n43,n42
LS-15068_S42_E1-50,Sst Calb2 Pdlim5,n108,n91
LS-15068_S43_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15068_S44_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15068_S45_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15068_S46_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15068_S47_E1-50,L4 IT VISp Rspo1,L4 IT VISp Rspo1,L4 IT VISp Rspo1
LS-15068_S48_E1-50,L5 NP VISp Trhr Met,n43,n42
LS-15061_S17_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
LS-15061_S18_E1-50,L6 IT VISp Penk Col27a1,n33,n33
LS-15061_S19_E1-50,L6 IT VISp Col23a1 Adamts2,n33,n33
LS-15061_S20_E1-50,L6 CT VISp Gpr139,L6 CT VISp Gpr139,n46
LS-15061_S21_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
LS-15061_S22_E1-50,L6 IT VISp Penk Col27a1,n33,n33
LS-15061_S23_E1-50,L6 IT VISp Car3,L6 IT VISp Car3,L6 IT VISp Car3
LS-15061_S24_E1-50,L6 IT VISp Col23a1 Adamts2,n33,n33
LS-15061_S33_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
LS-15061_S35_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
LS-15061_S36_E1-50,L6 IT VISp Penk Col27a1,n33,n33
LS-15061_S37_E1-50,L6 IT VISp Penk Col27a1,n33,n33
LS-15061_S38_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
LS-15061_S39_E1-50,L6 IT VISp Penk Col27a1,n33,n33
LS-15061_S40_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
LS-15061_S41_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
LS-15061_S42_E1-50,L6 CT VISp Gpr139,L6 CT VISp Gpr139,n46
LS-15061_S43_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
LS-15061_S44_E1-50,L6 IT VISp Penk Col27a1,n33,n33
LS-15061_S45_E1-50,L6 IT VISp Penk Col27a1,n33,n33
LS-15061_S46_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
LS-15061_S47_E1-50,L6 IT VISp Penk Col27a1,n33,n33
LS-15061_S48_E1-50,L6 IT VISp Penk Col27a1,n33,n33
LS-15059_S81_E1-50,L6 IT VISp Penk Col27a1,n33,n33
LS-15059_S82_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
LS-15059_S83_E1-50,L6 IT VISp Penk Col27a1,n33,n33
LS-15059_S84_E1-50,L6 IT VISp Col23a1 Adamts2,n33,n33
LS-15059_S86_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
LS-15059_S87_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
LS-15059_S88_E1-50,L6 IT VISp Col23a1 Adamts2,n33,n33
LS-15059_S89_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
LS-15059_S90_E1-50,L6 IT VISp Penk Col27a1,n33,n33
LS-15059_S91_E1-50,L6 IT VISp Penk Col27a1,n33,n33
LS-15059_S92_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
LS-15059_S93_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
LS-15059_S94_E1-50,L6 CT VISp Nxph2 Wls,n47,n46
LS-15059_S95_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
LS-15059_S96_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
LS-15061_S49_E1-50,Pvalb Tpbg,n111,n110
LS-15061_S50_E1-50,Pvalb Reln Itm2a,n111,n110
LS-15061_S51_E1-50,Sst Rxfp1 Prdm8,n100,n91
LS-15061_S52_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15061_S53_E1-50,Pvalb Reln Tac1,n111,n110
LS-15061_S54_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15061_S55_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15061_S56_E1-50,Pvalb Reln Tac1,n111,n110
LS-15061_S57_E1-50,Pvalb Reln Tac1,n111,n110
LS-15061_S58_E1-50,Pvalb Reln Tac1,n111,n110
LS-15061_S59_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15061_S60_E1-50,Pvalb Reln Tac1,n111,n110
LS-15061_S61_E1-50,Pvalb Tpbg,n111,n110
LS-15061_S62_E1-50,Pvalb Reln Tac1,n111,n110
LS-15061_S65_E1-50,Pvalb Th Sst,Pvalb Th Sst,n110
LS-15061_S66_E1-50,Pvalb Sema3e Kank4,n111,n110
LS-15061_S67_E1-50,Pvalb Reln Tac1,n111,n110
LS-15061_S68_E1-50,Pvalb Reln Tac1,n111,n110
LS-15061_S69_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15061_S70_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15061_S71_E1-50,Pvalb Reln Tac1,n111,n110
LS-15061_S72_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15061_S73_E1-50,Pvalb Reln Tac1,n111,n110
LS-15061_S74_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15061_S75_E1-50,Pvalb Reln Tac1,n111,n110
LS-15061_S76_E1-50,Pvalb Reln Tac1,n111,n110
LS-15061_S77_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15061_S78_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15061_S79_E1-50,Pvalb Sema3e Kank4,n111,n110
LS-15061_S80_E1-50,Pvalb Tpbg,n111,n110
LS-15061_S81_E1-50,Pvalb Tpbg,n111,n110
LS-15061_S82_E1-50,Pvalb Tpbg,n111,n110
LS-15061_S83_E1-50,Pvalb Tpbg,n111,n110
LS-15061_S84_E1-50,Pvalb Tpbg,n111,n110
LS-15061_S85_E1-50,Pvalb Tpbg,n111,n110
LS-15061_S86_E1-50,Pvalb Tpbg,n111,n110
LS-15061_S87_E1-50,Pvalb Tpbg,n111,n110
LS-15061_S88_E1-50,Pvalb Gabrg1,Pvalb Gabrg1,n110
LS-15061_S89_E1-50,Pvalb Sema3e Kank4,n111,n110
LS-15061_S90_E1-50,Pvalb Sema3e Kank4,n111,n110
LS-15061_S91_E1-50,Pvalb Reln Tac1,n111,n110
LS-15061_S92_E1-50,Pvalb Reln Itm2a,n111,n110
LS-15061_S93_E1-50,Pvalb Reln Itm2a,n111,n110
LS-15060_S49_E1-50,Lamp5 Fam19a1 Pax6,n81,n79
LS-15060_S50_E1-50,Lamp5 Plch2 Dock5,n82,n79
LS-15060_S51_E1-50,Vip Rspo1 Itga4,n73,n66
LS-15060_S52_E1-50,Vip Rspo4 Rxfp1 Chat,n73,n66
LS-15060_S53_E1-50,Lamp5 Plch2 Dock5,n82,n79
LS-15060_S54_E1-50,Lamp5 Plch2 Dock5,n82,n79
LS-15060_S55_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15060_S56_E1-50,Vip Crispld2 Htr2c,n65,n64
LS-15060_S57_E1-50,Sncg Vip Nptx2,n87,n86
LS-15060_S58_E1-50,Vip Igfbp6 Car10,n62,n62
LS-15060_S60_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15060_S61_E1-50,Lamp5 Plch2 Dock5,n82,n79
LS-15060_S62_E1-50,Lamp5 Fam19a1 Tmem182,n81,n79
LS-15060_S63_E1-50,Vip Pygm C1ql1,n72,n66
LS-15060_S64_E1-50,Lamp5 Plch2 Dock5,n82,n79
LS-15066_S09_E1-50,Vip Crispld2 Htr2c,n65,n64
LS-15066_S10_E1-50,Lamp5 Plch2 Dock5,n82,n79
LS-15066_S11_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15066_S12_E1-50,Lamp5 Plch2 Dock5,n82,n79
LS-15066_S13_E1-50,Lamp5 Plch2 Dock5,n82,n79
LS-15066_S14_E1-50,Lamp5 Fam19a1 Tmem182,n81,n79
LS-15066_S16_E1-50,Lamp5 Plch2 Dock5,n82,n79
LS-15066_S17_E1-50,Lamp5 Plch2 Dock5,n82,n79
LS-15066_S18_E1-50,Lamp5 Plch2 Dock5,n82,n79
LS-15066_S19_E1-50,Lamp5 Krt73,Lamp5 Krt73,n79
LS-15066_S20_E1-50,Lamp5 Fam19a1 Tmem182,n81,n79
LS-15066_S21_E1-50,Lamp5 Krt73,Lamp5 Krt73,n79
LS-15066_S22_E1-50,Lamp5 Krt73,Lamp5 Krt73,n79
LS-15066_S23_E1-50,Lamp5 Fam19a1 Tmem182,n81,n79
LS-15066_S24_E1-50,Sncg Vip Nptx2,n87,n86
LS-15066_S25_E1-50,Lamp5 Plch2 Dock5,n82,n79
LS-15066_S26_E1-50,Vip Crispld2 Htr2c,n65,n64
LS-15066_S27_E1-50,Lamp5 Plch2 Dock5,n82,n79
LS-15066_S28_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15066_S29_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15066_S30_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15066_S31_E1-50,Lamp5 Plch2 Dock5,n82,n79
LS-15066_S32_E1-50,Vip Chat Htr1f,n72,n66
LS-15066_S33_E1-50,Sst Mme Fam114a1,n105,n91
LS-15066_S34_E1-50,Pvalb Gpr149 Islr,n111,n110
LS-15066_S35_E1-50,Vip Igfbp6 Car10,n62,n62
LS-15066_S36_E1-50,Lamp5 Plch2 Dock5,n82,n79
LS-15066_S37_E1-50,Vip Chat Htr1f,n72,n66
LS-15066_S38_E1-50,L2/3 IT VISp Rrad,n39,n36
LS-15066_S39_E1-50,Lamp5 Plch2 Dock5,n82,n79
LS-15066_S40_E1-50,Lamp5 Ntn1 Npy2r,n82,n79
LS-15066_S41_E1-50,Lamp5 Lhx6,Lamp5 Lhx6,n78
LS-15066_S42_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15066_S44_E1-50,Sst Chrna2 Glra3,n95,n91
LS-15066_S45_E1-50,Sst Calb2 Pdlim5,n108,n91
LS-15066_S46_E1-50,Vip Arhgap36 Hmcn1,n70,n66
LS-15066_S47_E1-50,Vip Lmo1 Fam159b,n67,n66
LS-15066_S48_E1-50,Vip Gpc3 Slc18a3,n70,n66
LS-15066_S49_E1-50,Pvalb Reln Tac1,n111,n110
LS-15066_S50_E1-50,Pvalb Reln Tac1,n111,n110
